AverageTime,minimum,maximum,imagesize,vmType,noVMreq,CPUUtilization,MemoryUtilization,NetworkUtil
14.775,7.1,22.48,12.7,1,14,100.0354,31.67092283,0.0015944
11.46666667,8.71,14.15,12.7,2,12,30.0836,8.094089534,0.0083176
77.29,77.29,77.29,572.49,3,5,97.4261,30.60097202,97.0035464
116.755,115.49,118.02,894.56,4,5,99.9791,49.7719779,0.0043208
7.07,7.07,7.07,12.7,1,2,99.9626,25.15198808,0.0018256
8.863333333,6.49,11.31,12.7,2,9,88.1195,22.51409161,0.002512
72.9,72.9,72.9,572.49,3,3,92.4784,24.15535865,96.1670432
100.94,100.94,100.94,894.56,4,2,38.2139,10.92139136,0.0040576
9.3,7.97,11.55,12.7,1,9,71.9611,23.39631016,0.0018856
5.87,5.87,5.87,12.7,2,2,99.9126,36.76306787,0.0039464
75.6,75.6,75.6,572.49,3,3,29.7761,6.416973751,97.0211912
116.43,115.88,116.98,894.56,4,5,29.0475,7.665184082,0.0040112
7.935,7.59,8.28,12.7,1,7,87.579,12.29011448,0.0018048
10.38333333,9.09,12.58,12.7,2,10,26.7144,13.51682049,0.0028344
107.97,107.97,107.97,894.56,4,4,100.3041,47.87876089,0.0017664
28.725,13.51,65.27,12.7,1,13,99.9937,64.07378,0.00194
13.38666667,10.63,15.97,12.7,2,12,40.212,11.38457087,0.0077864
72.82,72.82,72.82,572.49,3,2,43.2593,11.17346435,96.3903704
101.65,101.65,101.65,894.56,4,1,99.8854,46.52435758,0.0041472
20,12.59,25.44,12.7,1,17,72.458,25.24322152,0.0021296
8.67,6.59,10.75,12.7,2,7,99.4087,28.27296909,0.0116528
74.7,74.7,74.7,572.49,3,2,30.5002,7.181262993,97.5885088
106.31,106.31,106.31,894.56,4,3,72.209,7.711588148,0.0042176
21.86,19.32,24.78,12.7,1,20,99.9647,51.1477625,0.001808
5.71,5.71,5.71,12.7,2,1,29.7476,8.719683271,0.0163472
77.835,74.66,81.01,572.49,3,9,97.9704,56.50743216,97.0706712
109.77,109.77,109.77,894.56,4,3,99.9833,52.00596708,0.00592
18.084,7.82,22.98,12.7,1,17,50.2626,15.48901791,0.0017504
8.193333333,6.41,10.42,12.7,2,10,99.2712,41.25151717,0.0146432
73.22,73.22,73.22,572.49,3,2,97.1347,40.40322821,96.6775184
109.645,108.31,110.98,894.56,4,5,99.9917,62.9150562,0.004044
