6.75,8.3554,12.7,1,2,71.443,47.031,49.522,-1.6054,1.6054
12.22,11.189,12.7,2,11,100.04,57.95,0.0025696,1.0307,1.0307
77.21,75.271,572.49,3,4,29.471,7.5963,0.0029656,1.9389,1.9389
116.51,115.93,894.56,4,5,27.884,7.4126,0.0045352,0.57826,0.57826
11.43,11.189,12.7,1,14,98.719,37.926,49.796,0.24066,0.24066
13.71,11.189,12.7,2,12,29.298,7.3472,0.0080264,2.5207,2.5207
77.22,75.271,572.49,3,4,90.912,27.042,0.0032824,1.9489,1.9489
107.5,103.58,894.56,4,3,99.992,46.381,0.0044864,3.9194,3.9194
15.56,11.189,12.7,1,20,89.015,24.912,48.646,4.3707,4.3707
6.49,6.3167,12.7,2,2,99.932,47.424,0.015814,0.17326,0.17326
74.12,84.147,572.49,3,10,99.579,45.144,0.0023936,-10.027,10.027
101.71,103.58,894.56,4,2,99.994,67.863,0.0058248,-1.8706,1.8706
16.17,11.189,12.7,1,19,47.865,12.028,49.684,4.9807,4.9807
5.53,6.3167,12.7,2,3,67.211,15.071,0.01391,-0.78674,0.78674
76.77,79.266,572.49,3,5,19.015,6.2468,0.0024784,-2.4958,2.4958
107.84,106.5,894.56,4,1,73.236,7.456,0.0045184,1.3385,1.3385
15.82,11.189,12.7,1,17,98.278,49.493,48.72,4.6307,4.6307
8.57,11.189,12.7,2,12,29.195,8.4404,0.01647,-2.6193,2.6193
82.39,79.266,572.49,3,6,99.952,27.208,0.00324,3.1242,3.1242
106.31,103.58,894.56,4,1,99.985,51.613,0.0043464,2.7294,2.7294
16.25,11.189,12.7,1,14,98.218,57.447,49.02,5.0607,5.0607
7.27,6.3167,12.7,2,3,99.763,40.373,0.010438,0.95326,0.95326
72.31,75.271,572.49,3,4,99.694,38.663,0.002532,-2.9611,2.9611
101.72,106.5,894.56,4,3,63.237,10.811,0.003976,-4.7815,4.7815
10.43,11.189,12.7,1,11,72.294,44.534,49.079,-0.75934,0.75934
11.29,7.9123,12.7,2,9,99.981,55.99,0.0058952,3.3777,3.3777
79.13,75.271,572.49,3,4,29.897,6.972,0.002472,3.8589,3.8589
100.85,106.5,894.56,4,2,28.474,7.531,0.0042976,-5.6515,5.6515
13.21,11.189,12.7,1,11,98.563,47.733,49.331,2.0207,2.0207
9.34,7.9123,12.7,2,9,27.828,7.3774,0.0074832,1.4277,1.4277
92.2,84.147,572.49,3,9,99.515,65.283,0.00248,8.0526,8.0526
107.64,109.49,894.56,4,5,89.244,18.183,0.0082696,-1.8487,1.8487
6.94,8.3554,12.7,1,5,98.676,57.469,49.263,-1.4154,1.4154
6.37,6.3167,12.7,2,2,100.4,48.612,0.0028248,0.053261,0.053261
74.06,75.271,572.49,3,4,99.906,48.479,0.0024192,-1.2111,1.2111
110.03,109.49,894.56,4,5,99.992,20.59,0.0040552,0.5413,0.5413
5.98,8.3554,12.7,1,5,47.41,12.142,49.52,-2.3754,2.3754
5.94,6.3167,12.7,2,3,64.075,13.378,0.0026872,-0.37674,0.37674
88.35,89.401,572.49,3,10,18.528,6.2402,0.0037872,-1.0506,1.0506
107.79,106.5,894.56,4,3,26.57,11.556,0.0085816,1.2885,1.2885
14.31,11.189,12.7,1,15,98.365,34.765,48.476,3.1207,3.1207
7.46,6.3167,12.7,2,5,29.336,7.9773,0.011149,1.1433,1.1433
74.09,75.271,572.49,3,4,99.729,66.944,0.002436,-1.1811,1.1811
113.91,114.18,894.56,4,5,100.46,52.931,0.0043696,-0.27167,0.27167
6.76,8.3554,12.7,1,6,98.164,70.413,48.329,-1.5954,1.5954
7.8,7.9123,12.7,2,8,100.38,65.087,0.0030248,-0.11231,0.11231
75.1,75.271,572.49,3,3,99.438,65.325,0.0024288,-0.17107,0.17107
101.17,103.58,894.56,4,1,99.983,30.304,0.0041488,-2.4106,2.4106
7.73,8.3554,12.7,1,3,73.371,18.646,49.524,-0.62538,0.62538
5.49,6.3167,12.7,2,1,99.979,19.271,0.0027256,-0.82674,0.82674
91.27,89.401,572.49,3,9,27.14,6.3173,0.0050048,1.8694,1.8694
115.65,115.93,894.56,4,5,29.983,11.57,0.0083288,-0.28174,0.28174
8.7,8.3554,12.7,1,2,98.632,28.403,48.84,0.34462,0.34462
6.15,6.3167,12.7,2,4,28.051,29.04,0.002656,-0.16674,0.16674
73.24,75.271,572.49,3,2,63.523,19.278,0.0038384,-2.0311,2.0311
107.71,103.58,894.56,4,3,99.986,27.09,0.0041664,4.1294,4.1294
8.11,8.3554,12.7,1,4,98.136,41.309,48.858,-0.24538,0.24538
5.92,6.3167,12.7,2,4,100.33,35.19,0.0027248,-0.39674,0.39674
78.48,79.266,572.49,3,6,99.994,35.58,0.0025128,-0.78579,0.78579
101.98,103.58,894.56,4,2,99.971,38.791,0.0065584,-1.6006,1.6006
13.69,11.189,12.7,1,11,72.734,41.216,49.521,2.5007,2.5007
6.9,6.3167,12.7,2,5,100.02,42.423,0.0060224,0.58326,0.58326
82.66,82.323,572.49,3,7,27.527,6.3267,0.0025856,0.3372,0.3372
106.68,106.5,894.56,4,1,28.65,9.4727,0.0062216,0.17855,0.17855
9.31,8.3554,12.7,1,2,98.378,57.522,49.189,0.95462,0.95462
5.98,6.3167,12.7,2,2,27.965,58.15,0.0026816,-0.33674,0.33674
79.19,79.266,572.49,3,6,63.307,9.6365,0.0038992,-0.075786,0.075786
108.21,103.58,894.56,4,3,99.992,27.12,0.0042136,4.6294,4.6294
7.29,8.3554,12.7,1,9,98.22,34.764,49.015,-1.0654,1.0654
6.44,6.3167,12.7,2,3,100.04,32.811,0.003472,0.12326,0.12326
73.3,75.271,572.49,3,2,99.965,32.33,0.0025296,-1.9711,1.9711
101.1,103.58,894.56,4,2,99.977,33.575,0.003924,-2.4806,2.4806
6.32,11.189,12.7,1,17,72.881,25.095,49.711,-4.8693,4.8693
12.02,11.189,12.7,2,11,99.034,28.129,0.013592,0.83066,0.83066
74.8,75.271,572.49,3,2,29.787,7.8369,0.0035704,-0.47107,0.47107
106.65,106.5,894.56,4,2,72.333,7.6075,0.0042464,0.14855,0.14855
15.66,11.189,12.7,1,14,98.38,47.854,49.447,4.4707,4.4707
11.7,11.189,12.7,2,10,30.316,7.9997,0.010239,0.51066,0.51066
85.28,82.323,572.49,3,8,99.569,49.94,0.002768,2.9572,2.9572
107.94,103.58,894.56,4,3,99.723,64.685,0.0063296,4.3594,4.3594
11.04,11.189,12.7,1,12,98.586,41.356,49.298,-0.14934,0.14934
9.35,7.9123,12.7,2,8,99.965,39.248,0.0037056,1.4377,1.4377
72.76,75.271,572.49,3,3,99.656,39.455,0.0028192,-2.5111,2.5111
101.73,103.58,894.56,4,2,99.954,23.888,0.0040472,-1.8506,1.8506
11.03,11.189,12.7,1,12,98.047,57.389,49.001,-0.15934,0.15934
6.61,6.3167,12.7,2,3,29.18,6.8989,0.005636,0.29326,0.29326
77.28,75.271,572.49,3,4,99.706,25.888,0.002496,2.0089,2.0089
106.53,106.34,894.56,4,1,100.15,49.754,0.0041912,0.19039,0.19039
12.45,11.189,12.7,1,12,0.1668,4.7009,0.0018144,1.2607,1.2607
